                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.76913,                0.74678,                 2.2643,                0.79936,                 0.7534,                0.80009,                0.60947,                0.87106,                 0.8484,                 2.7921,             0.00042456,             0.00042456,             0.00042456
                     73,                0.75876,                0.73241,                 2.2616,                0.76291,                0.78548,                0.80208,                0.60699,                0.85221,                0.84881,                 2.7646,             0.00041041,             0.00041041,             0.00041041
                     74,                0.77006,                0.74445,                 2.2504,                0.76876,                  0.774,                0.79453,                0.60027,                0.86835,                0.84629,                 2.7928,             0.00039626,             0.00039626,             0.00039626
                     75,                0.77205,                0.75452,                 2.2794,                0.77112,                0.73923,                0.76868,                0.59103,                0.85286,                0.87533,                  2.772,             0.00038211,             0.00038211,             0.00038211
                     76,                0.75818,                0.73384,                 2.2721,                0.76177,                0.77231,                0.78918,                0.60429,                0.85605,                0.83503,                 2.7625,             0.00036797,             0.00036797,             0.00036797
                     77,                0.76539,                0.74152,                 2.2557,                0.75045,                0.76472,                0.78342,                0.60168,                0.84524,                0.84931,                 2.7573,             0.00035382,             0.00035382,             0.00035382
                     78,                0.75291,                0.72857,                 2.2473,                0.79393,                0.73059,                0.80434,                0.62216,                0.84049,                0.84406,                 2.7471,             0.00033967,             0.00033967,             0.00033967
                     79,                0.74288,                0.71614,                 2.2342,                0.72949,                0.80784,                 0.7961,                0.61262,                0.83422,                0.80936,                 2.7389,             0.00032553,             0.00032553,             0.00032553
                     80,                0.75071,                0.72506,                 2.2501,                0.74985,                0.80723,                0.81363,                0.62325,                 0.8343,                0.81923,                   2.77,             0.00031138,             0.00031138,             0.00031138
                     81,                0.74187,                0.71601,                 2.2373,                0.77112,                0.77031,                0.78282,                0.59198,                 0.8359,                0.87116,                 2.7522,             0.00029723,             0.00029723,             0.00029723
                     82,                0.74657,                0.73279,                 2.2417,                0.72854,                 0.7962,                0.79083,                0.60524,                0.85413,                0.84249,                  2.746,             0.00028308,             0.00028308,             0.00028308
                     83,                0.73269,                0.69435,                 2.2167,                0.76265,                0.76325,                 0.7784,                0.59402,                 0.8337,                0.85485,                 2.7402,             0.00026894,             0.00026894,             0.00026894
                     84,                0.74411,                 0.7033,                 2.2316,                0.74699,                0.77777,                 0.7961,                0.61311,                0.82064,                0.81517,                 2.7271,             0.00025479,             0.00025479,             0.00025479
                     85,                0.74406,                0.70784,                 2.2319,                0.72839,                0.80663,                0.78386,                0.59416,                0.82227,                0.86261,                 2.7739,             0.00024064,             0.00024064,             0.00024064
                     86,                0.73972,                0.69532,                  2.223,                0.73064,                0.81009,                0.81372,                0.62965,                 0.8219,                0.79586,                 2.7266,              0.0002265,              0.0002265,              0.0002265
                     87,                0.73799,                0.69804,                 2.2253,                0.76117,                 0.7906,                0.80332,                0.62436,                0.81866,                0.81479,                 2.7353,             0.00021235,             0.00021235,             0.00021235
